Osobní číslo,Jméno,Věk,Město,Plat,Pozice,Oddělení,Telefon,Email,Datum nástupu
987,Judita Vaňková,60,Hlinsko,49761,Konzultant,Prodej,374864174,pospisilovadrahoslava@example.net,2023-02-26
988,Marek Ševčík,45,Velešín,66031,Koordinátor,Stavba,574792409,krausmatous@example.org,2021-11-03
989,Otýlie Fišerová,40,Hrochův Týnec,68612,Technik,IT,883629560,katerina27@example.org,2021-02-26
990,Jindřich Horáček,49,Štíty,79498,Konzultant,Administrativa,883273181,smidmichal@example.org,2019-09-02
991,Olga Tichá,32,Bílovec,50702,Koordinátor,Administrativa,254105962,matouskovaklara@example.com,2024-06-17
992,Dorota Valentová,56,Starý Plzenec,69609,Ředitel,Administrativa,905783320,stejskalovadorota@example.com,2020-04-05
993,Alexandr Vlček,52,Dolní Bousov,55538,Asistent,Podpora,366656201,kasparovaevelina@example.net,2021-12-26
994,Alena Černá,53,Volyně,77002,Ředitel,HR,859624835,horvathovaeva@example.com,2023-04-07
995,Hedvika Králová,28,Moravský Krumlov,62906,Analytik,IT,265907416,blahamatous@example.net,2021-07-15
996,Bohumil Černý,42,Chyše,64682,Koordinátor,IT,649264485,michal03@example.org,2019-01-01
997,Radim Šťastný,45,Hradec nad Moravicí,64246,Koordinátor,Prodej,834887664,libor72@example.org,2018-12-26
998,Linda Kučerová,27,Protivín,66702,Technik,Marketing,458334265,liskovadanuse@example.org,2022-01-09
999,Pavel Stejskal,22,Rýmařov,78632,Projektový manažer,Stavba,556602863,svecmiroslav@example.net,2023-09-23
1000,Dušan Kašpar,35,Rožmberk nad Vltavou,72255,Ředitel,Výroba,496331524,danabartosova@example.org,2023-05-30
